CD_MUN;NM_MUN;YIELD_2000;YIELD_2001;YIELD_2002;YIELD_2003;YIELD_2004;YIELD_2005;YIELD_2006;YIELD_2007;YIELD_2008;YIELD_2009;YIELD_2010;YIELD_2011;YIELD_2012;YIELD_2013;YIELD_2014;YIELD_2015;YIELD_2016;YIELD_2017;YIELD_2018;YIELD_2019;YIELD_2020
3501509;Alvinlândia;NA;NA;NA;NA;NA;39733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3501806;Américo de Campos;NA;NA;NA;NA;NA;0;0;0;60053;62000;60000;79688;72000;72000;61000;70000;78000;78000;70000;70000;71944
3502507;Aparecida;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3515657;Fernão;NA;NA;NA;NA;NA;0;0;0;120000;120000;74000;80000;0;0;0;0;0;0;60000;60000;60000
3515707;Ferraz de Vasconcelos;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3515905;Floreal;NA;NA;NA;NA;NA;0;180000;90000;90000;90000;90000;90000;70000;70000;70000;70000;70000;90000;90000;90000;90000
3516309;Francisco Morato;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3516408;Franco da Rocha;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3516606;Gália;NA;NA;NA;NA;NA;0;0;0;0;0;65000;65000;0;0;0;0;0;0;0;0;0
3516705;Garça;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3517307;Guaimbê;NA;NA;NA;NA;NA;0;100000;0;80000;100000;100000;100000;0;100000;50000;60000;60000;52000;55000;55000;55000
3517604;Guapiara;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3518107;Guarantã;NA;NA;NA;NA;NA;0;75000;70000;80000;120000;80000;80000;80000;75000;70000;60000;60000;60000;60000;70000;70000
3518404;Guaratinguetá;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3518701;Guarujá;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3518800;Guarulhos;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3520202;Igaratá;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;40000;0;0;0;0;0;0;0
3520301;Iguape;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3520608;Indiana;NA;NA;NA;NA;NA;0;0;0;90000;90909;90000;70000;70000;69870;69870;69870;69870;69870;69870;69870;75712
3521200;Iporanga;NA;NA;NA;NA;NA;0;0;0;0;0;100000;50000;0;50000;50000;50000;50000;50000;20000;20000;40000
3521705;Itaberá;NA;NA;NA;NA;NA;0;0;75000;25000;75;0;55000;99000;70000;70000;70000;0;0;0;0;0
3522109;Itanhaém;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3522158;Itaoca;NA;NA;NA;NA;NA;0;0;0;0;0;30000;15000;93000;15000;0;60000;60000;60000;60000;60000;60000
3522208;Itapecerica da Serra;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3522505;Itapevi;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3522653;Itapirapuã Paulista;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;81200;60000;60000;60000;60000;60000;60000
3522802;Itaporanga;NA;NA;NA;NA;NA;0;0;100000;80000;0;80000;65000;70000;45000;70000;70000;0;0;70000;0;0
3523206;Itararé;NA;NA;NA;NA;NA;0;0;0;0;0;60000;80000;0;0;0;0;0;0;70000;70000;70000
3523305;Itariri;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3523404;Itatiba;NA;NA;NA;NA;NA;0;0;0;80000;80000;80000;80000;80000;80000;80000;50000;50000;50000;50000;50000;50000
3523503;Itatinga;NA;NA;NA;NA;NA;0;0;60000;60000;60000;61224;60000;60000;70000;90000;80000;80000;80000;80000;78511;78511
3523701;Itirapuã;NA;NA;NA;NA;NA;0;0;0;80000;95000;95000;100000;100000;100000;95000;100000;100000;90000;90000;83750;93333
3524600;Jacupiranga;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;20000;30000;30000
3524808;Jales;NA;NA;NA;NA;NA;0;0;60000;0;107300;110000;90000;85000;85000;80000;80000;80000;80000;90000;90000;90000
3525003;Jandira;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3525805;Júlio Mesquita;NA;NA;NA;NA;NA;0;0;100000;50000;50000;0;80000;60000;59314;70000;80000;60000;70000;70000;0;0
3526100;Juquiá;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3526209;Juquitiba;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3526308;Lagoinha;NA;NA;NA;NA;NA;0;0;24000;0;0;70000;70000;0;0;0;0;60000;88000;49000;25000;0
3526605;Lavrinhas;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3527207;Lorena;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3527306;Louveira;NA;NA;NA;NA;NA;0;0;0;0;0;0;50000;60000;50000;55000;55000;55000;55000;55000;55000;55000
3527504;Lucianópolis;NA;NA;NA;NA;NA;79719;100000;80000;80000;80000;80000;80000;80000;76923;60000;74323;75000;75000;72000;75000;76000
3527801;Lupércio;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3528502;Mairiporã;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3528908;Mariápolis;NA;NA;NA;NA;NA;77923;120000;70000;70000;80000;80000;88000;60000;60000;60000;70000;70000;70000;70000;70000;70000
3529005;Marília;NA;NA;NA;NA;NA;0;0;70000;70000;70000;80000;70000;70000;55000;40000;35000;35000;80000;80000;77500;64167
3529104;Marinópolis;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;110000;90000;90000;90000;90000;80000;80000;80000
3529401;Mauá;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3529658;Mesópolis;NA;NA;NA;NA;NA;0;0;0;90000;139500;130000;110000;80000;69206;65000;80000;65000;72000;72000;71982;72000
3529906;Miracatu;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3530003;Mira Estrela;NA;NA;NA;NA;NA;0;0;80000;70000;53333;80000;80000;80000;85000;80000;85714;80000;80000;80000;80000;80000
3530607;Mogi das Cruzes;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
